index	account	attack	budget	K	selection_model	craft_model	victim_model	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
25	aip-boyuwang	gradmatch	0.005	10	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_ce5_tgt50	job_025_gm_b0005_k10_avgg_vconv.sh
26	aip-boyuwang	gradmatch	0.005	10	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_ce5_tgt50	job_026_gm_b0005_k10_avgg_vr20.sh
27	aip-yiweilu	gradmatch	0.005	10	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt50	job_027_gm_b0005_k10_avgg_vvgg.sh
28	aip-boyuwang	gradmatch	0.005	20	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_ce5_tgt70	job_028_gm_b0005_k20_aconv_vconv.sh
29	aip-boyuwang	gradmatch	0.005	20	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_ce5_tgt70	job_029_gm_b0005_k20_aconv_vr20.sh
30	aip-yiweilu	gradmatch	0.005	20	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_ce5_tgt70	job_030_gm_b0005_k20_aconv_vvgg.sh
31	aip-boyuwang	gradmatch	0.005	20	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_ce5_tgt14	job_031_gm_b0005_k20_ar20_vconv.sh
32	aip-boyuwang	gradmatch	0.005	20	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_ce5_tgt14	job_032_gm_b0005_k20_ar20_vr20.sh
33	aip-yiweilu	gradmatch	0.005	20	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_ce5_tgt14	job_033_gm_b0005_k20_ar20_vvgg.sh
34	aip-boyuwang	gradmatch	0.005	20	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_ce5_tgt50	job_034_gm_b0005_k20_avgg_vconv.sh
35	aip-boyuwang	gradmatch	0.005	20	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_ce5_tgt50	job_035_gm_b0005_k20_avgg_vr20.sh
36	aip-yiweilu	gradmatch	0.005	20	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_ce5_tgt50	job_036_gm_b0005_k20_avgg_vvgg.sh
37	aip-boyuwang	sapa	0.002	10	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt70	job_037_sapa_b0002_k10_aconv_vconv.sh
38	aip-boyuwang	sapa	0.002	10	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_worst0.05_ce5_tgt70	job_038_sapa_b0002_k10_aconv_vr20.sh
39	aip-yiweilu	sapa	0.002	10	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_worst0.05_ce5_tgt70	job_039_sapa_b0002_k10_aconv_vvgg.sh
40	aip-boyuwang	sapa	0.002	10	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_worst0.05_ce5_tgt14	job_040_sapa_b0002_k10_ar20_vconv.sh
41	aip-boyuwang	sapa	0.002	10	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt14	job_041_sapa_b0002_k10_ar20_vr20.sh
42	aip-yiweilu	sapa	0.002	10	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_worst0.05_ce5_tgt14	job_042_sapa_b0002_k10_ar20_vvgg.sh
43	aip-boyuwang	sapa	0.002	10	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_worst0.05_ce5_tgt50	job_043_sapa_b0002_k10_avgg_vconv.sh
44	aip-boyuwang	sapa	0.002	10	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_worst0.05_ce5_tgt50	job_044_sapa_b0002_k10_avgg_vr20.sh
45	aip-yiweilu	sapa	0.002	10	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt50	job_045_sapa_b0002_k10_avgg_vvgg.sh
46	aip-boyuwang	sapa	0.002	20	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt70	job_046_sapa_b0002_k20_aconv_vconv.sh
47	aip-boyuwang	sapa	0.002	20	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_worst0.05_ce5_tgt70	job_047_sapa_b0002_k20_aconv_vr20.sh
48	aip-yiweilu	sapa	0.002	20	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_worst0.05_ce5_tgt70	job_048_sapa_b0002_k20_aconv_vvgg.sh
49	aip-boyuwang	sapa	0.002	20	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_worst0.05_ce5_tgt14	job_049_sapa_b0002_k20_ar20_vconv.sh
50	aip-boyuwang	sapa	0.002	20	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt14	job_050_sapa_b0002_k20_ar20_vr20.sh
51	aip-yiweilu	sapa	0.002	20	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_worst0.05_ce5_tgt14	job_051_sapa_b0002_k20_ar20_vvgg.sh
52	aip-boyuwang	sapa	0.002	20	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_worst0.05_ce5_tgt50	job_052_sapa_b0002_k20_avgg_vconv.sh
53	aip-boyuwang	sapa	0.002	20	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_worst0.05_ce5_tgt50	job_053_sapa_b0002_k20_avgg_vr20.sh
54	aip-yiweilu	sapa	0.002	20	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt50	job_054_sapa_b0002_k20_avgg_vvgg.sh
55	aip-boyuwang	sapa	0.005	10	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt70	job_055_sapa_b0005_k10_aconv_vconv.sh
56	aip-boyuwang	sapa	0.005	10	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_worst0.05_ce5_tgt70	job_056_sapa_b0005_k10_aconv_vr20.sh
57	aip-yiweilu	sapa	0.005	10	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_worst0.05_ce5_tgt70	job_057_sapa_b0005_k10_aconv_vvgg.sh
58	aip-boyuwang	sapa	0.005	10	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_worst0.05_ce5_tgt14	job_058_sapa_b0005_k10_ar20_vconv.sh
59	aip-boyuwang	sapa	0.005	10	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt14	job_059_sapa_b0005_k10_ar20_vr20.sh
60	aip-yiweilu	sapa	0.005	10	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K10_worst0.05_ce5_tgt14	job_060_sapa_b0005_k10_ar20_vvgg.sh
61	aip-boyuwang	sapa	0.005	10	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K10_worst0.05_ce5_tgt50	job_061_sapa_b0005_k10_avgg_vconv.sh
62	aip-boyuwang	sapa	0.005	10	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K10_worst0.05_ce5_tgt50	job_062_sapa_b0005_k10_avgg_vr20.sh
63	aip-yiweilu	sapa	0.005	10	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt50	job_063_sapa_b0005_k10_avgg_vvgg.sh
64	aip-boyuwang	sapa	0.005	20	ConvNetBN	ConvNetBN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt70	job_064_sapa_b0005_k20_aconv_vconv.sh
65	aip-boyuwang	sapa	0.005	20	ConvNetBN	ConvNetBN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_worst0.05_ce5_tgt70	job_065_sapa_b0005_k20_aconv_vr20.sh
66	aip-yiweilu	sapa	0.005	20	ConvNetBN	ConvNetBN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_worst0.05_ce5_tgt70	job_066_sapa_b0005_k20_aconv_vvgg.sh
67	aip-boyuwang	sapa	0.005	20	ResNet20BN	ResNet20BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_worst0.05_ce5_tgt14	job_067_sapa_b0005_k20_ar20_vconv.sh
68	aip-boyuwang	sapa	0.005	20	ResNet20BN	ResNet20BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt14	job_068_sapa_b0005_k20_ar20_vr20.sh
69	aip-yiweilu	sapa	0.005	20	ResNet20BN	ResNet20BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchVGG13BN_K20_worst0.05_ce5_tgt14	job_069_sapa_b0005_k20_ar20_vvgg.sh
70	aip-boyuwang	sapa	0.005	20	VGG13BN	VGG13BN	ConvNetBN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchConvNetBN_K20_worst0.05_ce5_tgt50	job_070_sapa_b0005_k20_avgg_vconv.sh
71	aip-boyuwang	sapa	0.005	20	VGG13BN	VGG13BN	ResNet20BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_victimarchResNet20BN_K20_worst0.05_ce5_tgt50	job_071_sapa_b0005_k20_avgg_vr20.sh
72	aip-yiweilu	sapa	0.005	20	VGG13BN	VGG13BN	VGG13BN	10	6	5	20	250	0-02:30:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K20_worst0.05_ce5_tgt50	job_072_sapa_b0005_k20_avgg_vvgg.sh
