index	job_file	account	attack	rho	selector	victim	K	targets	victims	old_ASR	configuration
27	job_27_bp_b0005_vr20_svgg_k20.sh	aip-yiweilu	BP	0.005	VGG13	ResNet20	20	8	6	30.0	attack=fc budget=0.005 V=ResNet20BN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=30
28	job_28_bp_b0005_vr20_svgg_k30.sh	aip-boyuwang	BP	0.005	VGG13	ResNet20	30	8	6	38.3	attack=fc budget=0.005 V=ResNet20BN S=VGG13BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=38.3
29	job_29_bp_b0005_vvgg_svgg_k1.sh	aip-boyuwang	BP	0.005	VGG13	VGG13	1	8	6	55.0	attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=55
30	job_30_bp_b0005_vvgg_svgg_k3.sh	aip-yiweilu	BP	0.005	VGG13	VGG13	3	8	6	50.0	attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=50
31	job_31_bp_b0005_vvgg_svgg_k10.sh	aip-boyuwang	BP	0.005	VGG13	VGG13	10	8	6	60.0	attack=fc budget=0.005 V=VGG13BN S=VGG13BN K=10 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=60
32	job_32_gm_b0002_vconv_sconv_k1.sh	aip-boyuwang	GM	0.002	ConvNet	ConvNet	1	8	6	23.3	attack=gradmatch budget=0.002 V=ConvNetBN S=ConvNetBN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=23.3
33	job_33_gm_b0002_vconv_sr20_k30.sh	aip-yiweilu	GM	0.002	ResNet20	ConvNet	30	8	6	10.0	attack=gradmatch budget=0.002 V=ConvNetBN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=10
34	job_34_gm_b0002_vr20_sr20_k3.sh	aip-boyuwang	GM	0.002	ResNet20	ResNet20	3	8	6	55.0	attack=gradmatch budget=0.002 V=ResNet20BN S=ResNet20BN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=55
35	job_35_gm_b0002_vr20_svgg_k20.sh	aip-boyuwang	GM	0.002	VGG13	ResNet20	20	8	6	35.0	attack=gradmatch budget=0.002 V=ResNet20BN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=35
36	job_36_gm_b0002_vr20_svgg_k30.sh	aip-yiweilu	GM	0.002	VGG13	ResNet20	30	8	6	43.3	attack=gradmatch budget=0.002 V=ResNet20BN S=VGG13BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=43.3
37	job_37_gm_b0005_vconv_sconv_k30.sh	aip-boyuwang	GM	0.005	ConvNet	ConvNet	30	8	6	45.0	attack=gradmatch budget=0.005 V=ConvNetBN S=ConvNetBN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=45
38	job_38_gm_b0005_vr20_sconv_k20.sh	aip-boyuwang	GM	0.005	ConvNet	ResNet20	20	8	6	85.0	attack=gradmatch budget=0.005 V=ResNet20BN S=ConvNetBN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=85
39	job_39_gm_b0005_vr20_sconv_k30.sh	aip-yiweilu	GM	0.005	ConvNet	ResNet20	30	8	6	61.7	attack=gradmatch budget=0.005 V=ResNet20BN S=ConvNetBN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=61.7
40	job_40_gm_b0005_vconv_sr20_k20.sh	aip-boyuwang	GM	0.005	ResNet20	ConvNet	20	8	6	30.0	attack=gradmatch budget=0.005 V=ConvNetBN S=ResNet20BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=30
41	job_41_gm_b0005_vconv_sr20_k30.sh	aip-boyuwang	GM	0.005	ResNet20	ConvNet	30	8	6	50.0	attack=gradmatch budget=0.005 V=ConvNetBN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=50
42	job_42_gm_b0005_vconv_svgg_k20.sh	aip-yiweilu	GM	0.005	VGG13	ConvNet	20	8	6	25.0	attack=gradmatch budget=0.005 V=ConvNetBN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=25
43	job_43_gm_b0005_vconv_svgg_k30.sh	aip-boyuwang	GM	0.005	VGG13	ConvNet	30	8	6	40.0	attack=gradmatch budget=0.005 V=ConvNetBN S=VGG13BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=40
44	job_44_gm_b0005_vr20_svgg_k20.sh	aip-boyuwang	GM	0.005	VGG13	ResNet20	20	8	6	95.0	attack=gradmatch budget=0.005 V=ResNet20BN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=95
45	job_45_sapa_b0002_vconv_sconv_k1.sh	aip-yiweilu	SAPA	0.002	ConvNet	ConvNet	1	8	6	28.3	attack=sapa budget=0.002 V=ConvNetBN S=ConvNetBN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=28.3
46	job_46_sapa_b0002_vr20_sconv_k1.sh	aip-boyuwang	SAPA	0.002	ConvNet	ResNet20	1	8	6	51.7	attack=sapa budget=0.002 V=ResNet20BN S=ConvNetBN K=1 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=51.7
47	job_47_sapa_b0002_vr20_sconv_k3.sh	aip-boyuwang	SAPA	0.002	ConvNet	ResNet20	3	8	6	46.7	attack=sapa budget=0.002 V=ResNet20BN S=ConvNetBN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=46.7
48	job_48_sapa_b0002_vconv_sr20_k20.sh	aip-yiweilu	SAPA	0.002	ResNet20	ConvNet	20	8	6	25.0	attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=25
49	job_49_sapa_b0002_vconv_sr20_k30.sh	aip-boyuwang	SAPA	0.002	ResNet20	ConvNet	30	8	6	11.7	attack=sapa budget=0.002 V=ConvNetBN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=11.7
50	job_50_sapa_b0002_vvgg_sr20_k20.sh	aip-boyuwang	SAPA	0.002	ResNet20	VGG13	20	8	6	75.0	attack=sapa budget=0.002 V=VGG13BN S=ResNet20BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=75
51	job_51_sapa_b0002_vvgg_sr20_k30.sh	aip-yiweilu	SAPA	0.002	ResNet20	VGG13	30	8	6	81.7	attack=sapa budget=0.002 V=VGG13BN S=ResNet20BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=81.7
52	job_52_sapa_b0002_vr20_svgg_k20.sh	aip-boyuwang	SAPA	0.002	VGG13	ResNet20	20	8	6	65.0	attack=sapa budget=0.002 V=ResNet20BN S=VGG13BN K=20 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=65
53	job_53_sapa_b0002_vr20_svgg_k30.sh	aip-boyuwang	SAPA	0.002	VGG13	ResNet20	30	8	6	60.0	attack=sapa budget=0.002 V=ResNet20BN S=VGG13BN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=60
54	job_54_sapa_b0005_vr20_sconv_k3.sh	aip-yiweilu	SAPA	0.005	ConvNet	ResNet20	3	8	6	80.0	attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=3 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=80
55	job_55_sapa_b0005_vr20_sconv_k30.sh	aip-boyuwang	SAPA	0.005	ConvNet	ResNet20	30	8	6	66.7	attack=sapa budget=0.005 V=ResNet20BN S=ConvNetBN K=30 base=ours base_dist=cosine_norm lambda_margin=10 jacobian=off craft_steps=250 victim_epochs=50 victim_decay=40 targets=8 victims=6; green-table-ASR=66.7
