dataset,model,class_pair,target_id,surrogate_id,y_adv,num_classes,n_candidates,u_t,spearman_neg_margin_vs_u,spearman_u_vs_normalized_residual_dot,spearman_neg_margin_vs_residual_dot,fraction_margin_bounds_satisfied,fraction_residual_dot_bounds_satisfied,margin_bound_violation_count,margin_bound_max_violation,residual_dot_bound_violation_count,residual_dot_bound_max_violation,checkpoint
CIFAR10,ConvNetBN,dog-bird,8252,7,5,10,5000,0.99999999996944955,0.99845150966606055,0.99879680737587251,0.99692585168503423,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,8730,7,5,10,5000,0.99999999999918743,0.99845150966606055,0.99877888916715574,0.99689829613193204,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,8055,7,5,10,5000,0.99999996890227294,0.99845150966606055,0.9987789633751587,0.99689835968393459,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,5859,7,5,10,5000,0.99999974628241106,0.99845150966606055,0.99901696994467903,0.99715946980637893,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,8954,7,5,10,5000,0.9999998352424091,0.99845150966606055,0.99939180992767263,0.99748351743534092,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,821,7,5,10,5000,0.999998643446253,0.99845150966606055,0.99878708766348367,0.99690748429229958,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,1547,7,5,10,5000,0.99999994061182274,0.99845150966606055,0.99988214348328597,0.99823815186552622,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,4427,7,5,10,5000,0.99999949340632066,0.99845150966606055,0.99877886459115472,0.99689826445193075,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_7.pt
CIFAR10,ConvNetBN,dog-bird,843,8,5,10,5000,0.99999999892399283,0.99825941920233496,0.99865875994635056,0.9966075267842196,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,1257,8,5,10,5000,0.99999999999991551,0.99825941920233496,0.99865870925834854,0.99660743932821616,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
