index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
25	aip-boyuwang	fc	0.002	VGG13BN	ConvNetBN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt3	job_025_bp_b0002_vvgg_sconv_k1.sh
26	aip-boyuwang	fc	0.002	VGG13BN	ConvNetBN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K3_ce5_tgt3	job_026_bp_b0002_vvgg_sconv_k3.sh
27	aip-yiweilu	fc	0.002	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt3	job_027_bp_b0002_vvgg_sconv_k10.sh
28	aip-boyuwang	fc	0.002	VGG13BN	ConvNetBN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K30_ce5_tgt3	job_028_bp_b0002_vvgg_sconv_k30.sh
29	aip-boyuwang	fc	0.002	VGG13BN	ResNet20BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt3	job_029_bp_b0002_vvgg_sr20_k1.sh
30	aip-yiweilu	fc	0.002	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt3	job_030_bp_b0002_vvgg_sr20_k3.sh
31	aip-boyuwang	fc	0.002	VGG13BN	ResNet20BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt3	job_031_bp_b0002_vvgg_sr20_k10.sh
32	aip-boyuwang	fc	0.002	VGG13BN	ResNet20BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt3	job_032_bp_b0002_vvgg_sr20_k30.sh
33	aip-yiweilu	fc	0.002	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt3	job_033_bp_b0002_vvgg_svgg_k1.sh
34	aip-boyuwang	fc	0.002	VGG13BN	VGG13BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt3	job_034_bp_b0002_vvgg_svgg_k3.sh
