dataset,model,class_pair,target_idx,candidate_count,spearman_neg_M_vs_exact,pearson_neg_M_vs_exact,spearman_R_vs_exact,pearson_R_vs_exact,spearman_A_vs_exact,pearson_A_vs_exact,spearman_head_vs_exact,pearson_head_vs_exact,spearman_beta0_vs_exact,pearson_beta0_vs_exact,spearman_beta1_vs_exact,pearson_beta1_vs_exact
CIFAR10,ConvNetBN,frog-airplane,2087,5000,0.9213134736845388,0.3846612069130911,-0.09491616130292443,-0.0631035784667878,0.9995032601042522,0.9996471232934984,0.9873410362936413,0.95936717515567,0.6094989996439599,0.2542734616104558,0.7515600643344025,0.73378810933482
CIFAR10,ConvNetBN,frog-airplane,8941,5000,0.9135083497563339,0.3828731221095967,-0.027257334274293367,-0.01932608948799832,0.9978428218015302,0.9995247800630909,0.9842145327445811,0.924258502998338,0.6530996795316616,0.27903279059007613,0.7811497080459882,0.7369997631900415
CIFAR10,ConvNetBN,frog-airplane,9820,5000,0.9108588175223526,0.4038039880291471,-0.2259384598803834,-0.16296344574500465,0.9986387364705388,0.9997111799870022,0.9871383957415357,0.9521577307307018,0.5515024670200986,0.20626027787029946,0.7402601566504061,0.7356623023731108
CIFAR10,ConvNetBN,frog-airplane,3825,5000,0.8632388961295558,0.32382208930843254,0.052508175348327,0.08297882090307482,0.9837354118505593,0.9986751567805585,0.929070702730828,0.892807656128223,0.6705970326158812,0.2934361773272484,0.759071024666841,0.7286652375536313
CIFAR10,ConvNetBN,frog-airplane,1796,5000,0.9175272237410889,0.391748084065186,-0.27154799993095424,-0.12784568841453614,0.9995056185830907,0.9997354007148658,0.9914556930342275,0.953445750177061,0.5546049401361974,0.23486932352840015,0.734418975330385,0.7563622230180043
CIFAR10,ConvNetBN,frog-airplane,2548,5000,0.909305052180202,0.3853186090235784,-0.2040618978264759,-0.13657124670143647,0.9985940426934361,0.9994388917092266,0.974237354201494,0.9297868991622118,0.56726200016248,0.21312546443097757,0.7385841772553671,0.7380878287271364
CIFAR10,ConvNetBN,frog-airplane,6437,5000,0.9107695828307832,0.3905475991983245,-0.28153806507627954,-0.1385176763629695,0.9985044936288292,0.9995423745089468,0.9851752419350095,0.9422561458909691,0.5397499001179958,0.23605731971885396,0.7183625646065025,0.7695714753103445
CIFAR10,ConvNetBN,frog-airplane,3336,5000,0.9041919707973793,0.38120444644275686,-0.295030887079397,-0.1835338547423293,0.9959749746057958,0.9994767281155941,0.9689337965726063,0.9160944328039106,0.5039981028120201,0.18184480740441442,0.7058507668589712,0.7464304625553076
CIFAR10,ConvNetBN,frog-airplane,2603,5000,0.901598350623934,0.37687817873572765,-0.19642521281700845,-0.13556892142977767,0.9943825412541974,0.99939586841222,0.9584332167693286,0.900149564742112,0.5632783075526511,0.20521646597704013,0.7350700449868017,0.7333534986756329
CIFAR10,ResNet20BN,dog-bird,5118,5000,0.9099275858226181,0.5458881722123143,-0.5799733188566908,-0.4398368262899869,0.9999707110034145,0.9999952028044479,0.9917878000555119,0.9692236715342694,0.31712709898908387,0.13246166174439078,0.7676077279523089,0.8126201844249468
CIFAR10,ResNet20BN,dog-bird,8740,5000,0.9025201764217885,0.5420385944523471,-0.6058415601347428,-0.46053370881384526,0.999971332092628,0.9999965641377999,0.9908188113447524,0.9548689639948681,0.2943609262295017,0.1065407831871737,0.7717403613841363,0.8180046973539515
CIFAR10,ResNet20BN,dog-bird,5324,5000,0.9019820729282255,0.5257058039670306,-0.436050328475874,-0.32076722943645947,0.9999478585547158,0.9999916459888758,0.9722828184346476,0.9282319906440439,0.41016539595861573,0.21641678490968852,0.7699679066707162,0.7933746059669478
CIFAR10,ResNet20BN,dog-bird,4630,5000,0.9093551534956797,0.5559650709022499,-0.48004448301682134,-0.4021048911345848,0.9999711329350944,0.9999963479808753,0.9907691758867669,0.9591769651238626,0.3788339439213577,0.16471697940771002,0.7781127481165099,0.7814172239749535
CIFAR10,ResNet20BN,dog-bird,833,5000,0.9042814503323662,0.5504087990726464,-0.5875101525545063,-0.4617532636224234,0.9999715583953047,0.9999960614159531,0.9905154873326194,0.955950438850848,0.295205725632229,0.10904076666194074,0.7688958726118349,0.8029821846273113
CIFAR10,ResNet20BN,dog-bird,2065,5000,0.9022242475035835,0.5041908832165927,-0.3036664021903841,-0.20694499992456133,0.9999233899073232,0.9999917129596131,0.9783084002758156,0.9492139613649224,0.48709591138352676,0.27212335449567604,0.7635460202721659,0.7771039427871482
CIFAR10,ResNet20BN,dog-bird,7056,5000,0.9062452675470604,0.5367630899216894,-0.5343476889387319,-0.38587748010090706,0.9999710605017654,0.9999940234791109,0.9925805564712221,0.9644297496806868,0.3509130376525214,0.17825832387702892,0.7675957678878306,0.8101174931478909
CIFAR10,ResNet20BN,dog-bird,9059,5000,0.9009205193336871,0.544563662850317,-0.5651432539657301,-0.4364907471078987,0.9999694019555311,0.9999950475638206,0.9925482255899288,0.9603028498272724,0.3213571949662878,0.13019846478796443,0.7721724498948977,0.8027607391783937
