dataset,model,class_pair,target_idx,selector,selector_label,poison_rho,train_set_size,candidate_count,requested_m,candidate_fraction,budget_valid,invalid_reason,overlap,overlap_at_m,jaccard_at_m,spearman_exact_top_m,spearman_selected_union,random_expected_overlap_at_m
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.01,50000,5000,500,0.1,True,,390,0.78,0.639344262295082,0.6192797571190284,0.5235195075662703,0.1
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.02,50000,5000,1000,0.2,True,,354,0.354,0.21506682867557717,0.1138904338904339,-0.3897311114780106,0.2
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.02,50000,5000,1000,0.2,True,,686,0.686,0.5220700152207002,0.7105770145770146,0.46014321930456176,0.2
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.02,50000,5000,1000,0.2,True,,988,0.988,0.9762845849802372,0.9968838218744733,0.9968495870894033,0.2
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.02,50000,5000,1000,0.2,True,,0,0.0,0.0,-0.730898938898939,-0.9583998412648294,0.2
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.02,50000,5000,1000,0.2,True,,852,0.852,0.7421602787456446,0.730898938898939,0.7050410468762829,0.2
CIFAR10,ConvNetBN,dog-bird,1257,beta0,GRAFT (\beta=0),0.04,50000,5000,2000,0.4,True,,1151,0.5755,0.404001404001404,0.10653849863462464,-0.14127334666069144,0.4
CIFAR10,ConvNetBN,dog-bird,1257,beta1,GRAFT+ (\beta=1),0.04,50000,5000,2000,0.4,True,,1472,0.736,0.5822784810126582,0.6637341894335473,0.48239994812188547,0.4
CIFAR10,ConvNetBN,dog-bird,1257,A,Backbone alignment A,0.04,50000,5000,2000,0.4,True,,1984,0.992,0.9841269841269841,0.9980006191244051,0.9980097473342102,0.4
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_high,Product (-M)RA · high first,0.04,50000,5000,2000,0.4,True,,4,0.002,0.001001001001001001,-0.8583291660822915,-0.9772217741897896,0.4
CIFAR10,ConvNetBN,dog-bird,1257,product_neg_MRA_low,Product (-M)RA · low first,0.04,50000,5000,2000,0.4,True,,1851,0.9255,0.8613308515588646,0.8583291660822915,0.8660824130412137,0.4
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.001,50000,5000,50,0.01,True,,1,0.02,0.010101010101010102,0.17983193277310922,-0.6756586270871985,0.01
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.001,50000,5000,50,0.01,True,,37,0.74,0.5873015873015873,0.8224249699879952,0.5996063748079878,0.01
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.001,50000,5000,50,0.01,True,,49,0.98,0.9607843137254902,0.9931812725090036,0.9930316742081449,0.01
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.001,50000,5000,50,0.01,True,,0,0.0,0.0,-0.29968787515006,-0.7918602153751748,0.01
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.001,50000,5000,50,0.01,True,,23,0.46,0.2987012987012987,0.29968787515006,-0.04718965245281034,0.01
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.002,50000,5000,100,0.02,True,,8,0.08,0.041666666666666664,-0.10531053105310528,-0.6675969128936876,0.02
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.002,50000,5000,100,0.02,True,,73,0.73,0.5748031496062992,0.7385658565856585,0.582477971503562,0.02
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.002,50000,5000,100,0.02,True,,95,0.95,0.9047619047619048,0.9932073207320732,0.9923180592991913,0.02
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.002,50000,5000,100,0.02,True,,0,0.0,0.0,-0.35349534953495343,-0.8415066999478141,0.02
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.002,50000,5000,100,0.02,True,,62,0.62,0.4492753623188406,0.35349534953495343,0.1457867663343143,0.02
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.005,50000,5000,250,0.05,True,,41,0.164,0.08932461873638345,0.11470455527288434,-0.5846073281537156,0.05
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.005,50000,5000,250,0.05,True,,176,0.704,0.5432098765432098,0.7900192963087408,0.5875275418309475,0.05
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.005,50000,5000,250,0.05,True,,240,0.96,0.9230769230769231,0.993054864877838,0.991737929668964,0.05
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.005,50000,5000,250,0.05,True,,0,0.0,0.0,-0.5918037728603657,-0.9163878748085345,0.05
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.005,50000,5000,250,0.05,True,,180,0.72,0.5625,0.5918037728603657,0.47815530425101815,0.05
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.01,50000,5000,500,0.1,True,,104,0.208,0.11607142857142858,0.10188885555542222,-0.520971491163682,0.1
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.01,50000,5000,500,0.1,True,,333,0.666,0.4992503748125937,0.7145803943215773,0.48388590944857723,0.1
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.01,50000,5000,500,0.1,True,,487,0.974,0.949317738791423,0.9932734450937805,0.992915649816825,0.1
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.01,50000,5000,500,0.1,True,,0,0.0,0.0,-0.6723434893739575,-0.9428119327165696,0.1
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.01,50000,5000,500,0.1,True,,404,0.808,0.6778523489932886,0.6723434893739575,0.6049556337323637,0.1
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.02,50000,5000,1000,0.2,True,,350,0.35,0.21212121212121213,0.0956873156873157,-0.3814051468555511,0.2
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.02,50000,5000,1000,0.2,True,,662,0.662,0.4947683109118087,0.677923121923122,0.43487971366384326,0.2
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.02,50000,5000,1000,0.2,True,,983,0.983,0.9665683382497542,0.993894213894214,0.9939275741687599,0.2
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.02,50000,5000,1000,0.2,True,,0,0.0,0.0,-0.7717729477729478,-0.9640963936304514,0.2
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.02,50000,5000,1000,0.2,True,,865,0.865,0.762114537444934,0.7717729477729478,0.7408292469780341,0.2
CIFAR10,ConvNetBN,dog-bird,8252,beta0,GRAFT (\beta=0),0.04,50000,5000,2000,0.4,True,,1187,0.5935,0.4219694276573054,0.10114822478705619,-0.12631455805360264,0.4
CIFAR10,ConvNetBN,dog-bird,8252,beta1,GRAFT+ (\beta=1),0.04,50000,5000,2000,0.4,True,,1459,0.7295,0.5741833923652105,0.6357319679329919,0.4670068699943891,0.4
CIFAR10,ConvNetBN,dog-bird,8252,A,Backbone alignment A,0.04,50000,5000,2000,0.4,True,,1973,0.9865,0.9733596447952639,0.9954583967378959,0.9954648159484196,0.4
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_high,Product (-M)RA · high first,0.04,50000,5000,2000,0.4,True,,4,0.002,0.001001001001001001,-0.8798274969568742,-0.9805722061540428,0.4
CIFAR10,ConvNetBN,dog-bird,8252,product_neg_MRA_low,Product (-M)RA · low first,0.04,50000,5000,2000,0.4,True,,1860,0.93,0.8691588785046729,0.8798274969568742,0.8813500638435893,0.4
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.001,50000,5000,50,0.01,True,,2,0.04,0.02040816326530612,-0.18175270108043215,-0.7222551626086235,0.01
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.001,50000,5000,50,0.01,True,,35,0.7,0.5384615384615384,0.6390876350540216,0.4135926573426573,0.01
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.001,50000,5000,50,0.01,True,,49,0.98,0.9607843137254902,0.9806962785114045,0.9814479638009049,0.01
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.001,50000,5000,50,0.01,True,,0,0.0,0.0,0.08533013205282113,-0.7468504675812084,0.01
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.001,50000,5000,50,0.01,True,,18,0.36,0.21951219512195122,-0.08533013205282113,-0.3568855367268532,0.01
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.002,50000,5000,100,0.02,True,,7,0.07,0.03626943005181347,-0.19703570357035702,-0.6909753752470487,0.02
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.002,50000,5000,100,0.02,True,,76,0.76,0.6129032258064516,0.6737353735373537,0.5384295830055074,0.02
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.002,50000,5000,100,0.02,True,,98,0.98,0.9607843137254902,0.9914671467146714,0.9915069747979939,0.02
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.002,50000,5000,100,0.02,True,,0,0.0,0.0,-0.08387638763876386,-0.7773968055304814,0.02
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.002,50000,5000,100,0.02,True,,61,0.61,0.43884892086330934,0.08387638763876386,-0.05346530229232763,0.02
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.005,50000,5000,250,0.05,True,,35,0.14,0.07526881720430108,-0.011807804924878797,-0.6233283763074853,0.05
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.005,50000,5000,250,0.05,True,,185,0.74,0.5873015873015873,0.7688759180146881,0.6318517409382524,0.05
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.005,50000,5000,250,0.05,True,,247,0.988,0.9762845849802372,0.9938996783948543,0.9939481379056868,0.05
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.005,50000,5000,250,0.05,True,,0,0.0,0.0,-0.5060536648586377,-0.8898564690600204,0.05
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.005,50000,5000,250,0.05,True,,175,0.7,0.5384615384615384,0.5060536648586377,0.39763060842815445,0.05
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.01,50000,5000,500,0.1,True,,116,0.232,0.13122171945701358,0.008657026628106511,-0.5420400181110123,0.1
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.01,50000,5000,500,0.1,True,,345,0.69,0.5267175572519084,0.7401450085800343,0.5364054154232978,0.1
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.01,50000,5000,500,0.1,True,,490,0.98,0.9607843137254902,0.9957714710858844,0.9956582143043724,0.1
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.01,50000,5000,500,0.1,True,,0,0.0,0.0,-0.6283371053484212,-0.9304075671395032,0.1
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.01,50000,5000,500,0.1,True,,396,0.792,0.6556291390728477,0.6283371053484212,0.5745467833510461,0.1
