dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.01,5000,50,4,0.08,0.01
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.01,5000,50,37,0.74,0.01
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.02,5000,100,11,0.11,0.02
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.02,5000,100,70,0.7,0.02
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.05,5000,250,49,0.196,0.05
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.05,5000,250,172,0.688,0.05
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.1,5000,500,132,0.264,0.1
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.1,5000,500,339,0.678,0.1
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.1,5000,500,490,0.98,0.1
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.2,5000,1000,416,0.416,0.2
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.2,5000,1000,674,0.674,0.2
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.2,5000,1000,983,0.983,0.2
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.001,5000,5,1,0.2,0.001
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.002,5000,10,1,0.1,0.002
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.005,5000,25,17,0.68,0.005
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.01,5000,50,4,0.08,0.01
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.02,5000,100,11,0.11,0.02
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.02,5000,100,70,0.7,0.02
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.05,5000,250,44,0.176,0.05
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.05,5000,250,186,0.744,0.05
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.1,5000,500,117,0.234,0.1
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.1,5000,500,360,0.72,0.1
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.1,5000,500,496,0.992,0.1
CIFAR10,ConvNetBN,dog-bird,5859,beta0,GRAFT (\beta=0),0.2,5000,1000,365,0.365,0.2
CIFAR10,ConvNetBN,dog-bird,5859,beta1,GRAFT+ (\beta=1),0.2,5000,1000,677,0.677,0.2
CIFAR10,ConvNetBN,dog-bird,5859,A,Backbone alignment A,0.2,5000,1000,991,0.991,0.2
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.001,5000,5,2,0.4,0.001
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.002,5000,10,1,0.1,0.002
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.002,5000,10,6,0.6,0.002
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.005,5000,25,4,0.16,0.005
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.01,5000,50,8,0.16,0.01
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.01,5000,50,38,0.76,0.01
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.02,5000,100,20,0.2,0.02
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.02,5000,100,72,0.72,0.02
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.02,5000,100,96,0.96,0.02
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.05,5000,250,71,0.284,0.05
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.05,5000,250,175,0.7,0.05
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.05,5000,250,243,0.972,0.05
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.1,5000,500,168,0.336,0.1
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.1,5000,500,351,0.702,0.1
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.1,5000,500,489,0.978,0.1
CIFAR10,ConvNetBN,dog-bird,8954,beta0,GRAFT (\beta=0),0.2,5000,1000,439,0.439,0.2
CIFAR10,ConvNetBN,dog-bird,8954,beta1,GRAFT+ (\beta=1),0.2,5000,1000,696,0.696,0.2
CIFAR10,ConvNetBN,dog-bird,8954,A,Backbone alignment A,0.2,5000,1000,983,0.983,0.2
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.002,5000,10,1,0.1,0.002
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.005,5000,25,4,0.16,0.005
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.005,5000,25,18,0.72,0.005
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.005,5000,25,23,0.92,0.005
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.01,5000,50,5,0.1,0.01
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.01,5000,50,48,0.96,0.01
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.02,5000,100,12,0.12,0.02
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.02,5000,100,80,0.8,0.02
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.02,5000,100,93,0.93,0.02
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.05,5000,250,32,0.128,0.05
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.05,5000,250,184,0.736,0.05
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.05,5000,250,244,0.976,0.05
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.1,5000,500,104,0.208,0.1
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.1,5000,500,349,0.698,0.1
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.1,5000,500,494,0.988,0.1
CIFAR10,ConvNetBN,dog-bird,821,beta0,GRAFT (\beta=0),0.2,5000,1000,332,0.332,0.2
CIFAR10,ConvNetBN,dog-bird,821,beta1,GRAFT+ (\beta=1),0.2,5000,1000,670,0.67,0.2
CIFAR10,ConvNetBN,dog-bird,821,A,Backbone alignment A,0.2,5000,1000,984,0.984,0.2
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
