dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.05,5000,250,165,0.66,0.05
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.05,5000,250,247,0.988,0.05
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.1,5000,500,107,0.214,0.1
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.1,5000,500,315,0.63,0.1
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.1,5000,500,492,0.984,0.1
CIFAR10,ConvNetBN,frog-airplane,2603,beta0,GRAFT (\beta=0),0.2,5000,1000,353,0.353,0.2
CIFAR10,ConvNetBN,frog-airplane,2603,beta1,GRAFT+ (\beta=1),0.2,5000,1000,600,0.6,0.2
CIFAR10,ConvNetBN,frog-airplane,2603,A,Backbone alignment A,0.2,5000,1000,987,0.987,0.2
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.002,5000,10,9,0.9,0.002
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.02,5000,100,1,0.01,0.02
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.02,5000,100,69,0.69,0.02
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.05,5000,250,10,0.04,0.05
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.05,5000,250,182,0.728,0.05
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.1,5000,500,59,0.118,0.1
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.1,5000,500,358,0.716,0.1
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,5118,beta0,GRAFT (\beta=0),0.2,5000,1000,252,0.252,0.2
CIFAR10,ResNet20BN,dog-bird,5118,beta1,GRAFT+ (\beta=1),0.2,5000,1000,724,0.724,0.2
CIFAR10,ResNet20BN,dog-bird,5118,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.002,5000,10,6,0.6,0.002
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.005,5000,25,23,0.92,0.005
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.02,5000,100,1,0.01,0.02
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.02,5000,100,73,0.73,0.02
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.05,5000,250,13,0.052,0.05
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.05,5000,250,186,0.744,0.05
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.1,5000,500,53,0.106,0.1
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.1,5000,500,361,0.722,0.1
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,8740,beta0,GRAFT (\beta=0),0.2,5000,1000,227,0.227,0.2
CIFAR10,ResNet20BN,dog-bird,8740,beta1,GRAFT+ (\beta=1),0.2,5000,1000,726,0.726,0.2
CIFAR10,ResNet20BN,dog-bird,8740,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.005,5000,25,16,0.64,0.005
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.02,5000,100,66,0.66,0.02
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.05,5000,250,29,0.116,0.05
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.05,5000,250,179,0.716,0.05
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.05,5000,250,249,0.996,0.05
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.1,5000,500,85,0.17,0.1
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.1,5000,500,339,0.678,0.1
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,5324,beta0,GRAFT (\beta=0),0.2,5000,1000,297,0.297,0.2
CIFAR10,ResNet20BN,dog-bird,5324,beta1,GRAFT+ (\beta=1),0.2,5000,1000,706,0.706,0.2
CIFAR10,ResNet20BN,dog-bird,5324,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.001,5000,5,2,0.4,0.001
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.002,5000,10,4,0.4,0.002
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.005,5000,25,18,0.72,0.005
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.005,5000,25,24,0.96,0.005
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.02,5000,100,4,0.04,0.02
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.02,5000,100,72,0.72,0.02
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.05,5000,250,14,0.056,0.05
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.05,5000,250,172,0.688,0.05
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.05,5000,250,249,0.996,0.05
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.1,5000,500,47,0.094,0.1
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.1,5000,500,361,0.722,0.1
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.1,5000,500,500,1.0,0.1
CIFAR10,ResNet20BN,dog-bird,4630,beta0,GRAFT (\beta=0),0.2,5000,1000,252,0.252,0.2
CIFAR10,ResNet20BN,dog-bird,4630,beta1,GRAFT+ (\beta=1),0.2,5000,1000,694,0.694,0.2
CIFAR10,ResNet20BN,dog-bird,4630,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.005,5000,25,18,0.72,0.005
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.01,5000,50,39,0.78,0.01
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.02,5000,100,2,0.02,0.02
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.05,5000,250,10,0.04,0.05
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.05,5000,250,173,0.692,0.05
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.1,5000,500,44,0.088,0.1
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.1,5000,500,352,0.704,0.1
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.1,5000,500,500,1.0,0.1
CIFAR10,ResNet20BN,dog-bird,833,beta0,GRAFT (\beta=0),0.2,5000,1000,228,0.228,0.2
CIFAR10,ResNet20BN,dog-bird,833,beta1,GRAFT+ (\beta=1),0.2,5000,1000,727,0.727,0.2
CIFAR10,ResNet20BN,dog-bird,833,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.02,5000,100,2,0.02,0.02
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.02,5000,100,69,0.69,0.02
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.05,5000,250,29,0.116,0.05
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.05,5000,250,179,0.716,0.05
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.1,5000,500,96,0.192,0.1
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.1,5000,500,346,0.692,0.1
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,2065,beta0,GRAFT (\beta=0),0.2,5000,1000,342,0.342,0.2
CIFAR10,ResNet20BN,dog-bird,2065,beta1,GRAFT+ (\beta=1),0.2,5000,1000,683,0.683,0.2
CIFAR10,ResNet20BN,dog-bird,2065,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.005,5000,25,17,0.68,0.005
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.05,5000,250,19,0.076,0.05
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.05,5000,250,182,0.728,0.05
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.05,5000,250,248,0.992,0.05
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.1,5000,500,72,0.144,0.1
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.1,5000,500,352,0.704,0.1
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.1,5000,500,500,1.0,0.1
CIFAR10,ResNet20BN,dog-bird,7056,beta0,GRAFT (\beta=0),0.2,5000,1000,272,0.272,0.2
CIFAR10,ResNet20BN,dog-bird,7056,beta1,GRAFT+ (\beta=1),0.2,5000,1000,722,0.722,0.2
CIFAR10,ResNet20BN,dog-bird,7056,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.002,5000,10,5,0.5,0.002
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.01,5000,50,37,0.74,0.01
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.02,5000,100,75,0.75,0.02
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.02,5000,100,98,0.98,0.02
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.05,5000,250,14,0.056,0.05
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.05,5000,250,184,0.736,0.05
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.1,5000,500,49,0.098,0.1
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.1,5000,500,363,0.726,0.1
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,9059,beta0,GRAFT (\beta=0),0.2,5000,1000,222,0.222,0.2
CIFAR10,ResNet20BN,dog-bird,9059,beta1,GRAFT+ (\beta=1),0.2,5000,1000,708,0.708,0.2
CIFAR10,ResNet20BN,dog-bird,9059,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.005,5000,25,16,0.64,0.005
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.05,5000,250,13,0.052,0.05
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.05,5000,250,172,0.688,0.05
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.1,5000,500,67,0.134,0.1
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.1,5000,500,334,0.668,0.1
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,6707,beta0,GRAFT (\beta=0),0.2,5000,1000,285,0.285,0.2
CIFAR10,ResNet20BN,dog-bird,6707,beta1,GRAFT+ (\beta=1),0.2,5000,1000,696,0.696,0.2
CIFAR10,ResNet20BN,dog-bird,6707,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.02,5000,100,74,0.74,0.02
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.05,5000,250,19,0.076,0.05
