dataset,model,class_pair,target_idx,model_id,margin_group,candidate_count,residual_norm_median,abs_head_interaction_median,abs_backbone_interaction_median
CIFAR10,ConvNetBN,dog-bird,1257,3,16,167,0.00011897168587893248,0.007395258639007807,0.0720672607421875
CIFAR10,ConvNetBN,dog-bird,1257,3,17,167,8.070476906141266e-05,0.00469187879934907,0.04388427734375
CIFAR10,ConvNetBN,dog-bird,1257,3,18,166,5.2099050662945956e-05,0.003272507106885314,0.031280517578125
CIFAR10,ConvNetBN,dog-bird,1257,3,19,167,3.52902861777693e-05,0.0023034769110381603,0.020263671875
CIFAR10,ConvNetBN,dog-bird,1257,3,20,167,2.107784712279681e-05,0.0013640918768942356,0.01080322265625
CIFAR10,ConvNetBN,dog-bird,1257,3,21,166,1.256786345038563e-05,0.0007545459957327694,0.0078125
CIFAR10,ConvNetBN,dog-bird,1257,3,22,167,6.519944236060837e-06,0.00040684241685085,0.003662109375
CIFAR10,ConvNetBN,dog-bird,1257,3,23,167,3.024179932253901e-06,0.00018391042249277234,0.0015869140625
CIFAR10,ConvNetBN,dog-bird,1257,3,24,166,1.2876017763119307e-06,8.063418499659747e-05,0.000732421875
CIFAR10,ConvNetBN,dog-bird,1257,3,25,167,4.939109885526705e-07,3.114805804216303e-05,0.000244140625
CIFAR10,ConvNetBN,dog-bird,1257,3,26,167,1.548252726024657e-07,9.844230589806102e-06,6.103515625e-05
CIFAR10,ConvNetBN,dog-bird,1257,3,27,166,1.6373167710526104e-08,1.0703607444817465e-09,0.0
CIFAR10,ConvNetBN,dog-bird,1257,3,28,167,2.759076078717726e-09,2.273733701319003e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,3,29,167,1.2277227845469696e-10,5.652815888990137e-12,0.0
CIFAR10,ConvNetBN,dog-bird,1257,3,30,166,3.189159141847933e-13,6.4597728936663856e-15,0.0
CIFAR10,ConvNetBN,dog-bird,1257,4,1,167,0.026761570945382118,1.4272054433822632,9.4329833984375
CIFAR10,ConvNetBN,dog-bird,1257,4,2,167,0.013556786812841892,0.7847487330436707,4.40155029296875
CIFAR10,ConvNetBN,dog-bird,1257,4,3,166,0.008126155007630587,0.4576881229877472,3.2459869384765625
CIFAR10,ConvNetBN,dog-bird,1257,4,4,167,0.005130844656378031,0.2787153422832489,1.8724365234375
CIFAR10,ConvNetBN,dog-bird,1257,4,5,167,0.0032387375831604004,0.18053677678108215,1.344512939453125
CIFAR10,ConvNetBN,dog-bird,1257,4,6,166,0.0021918457932770252,0.13220933079719543,0.9099884033203125
CIFAR10,ConvNetBN,dog-bird,1257,4,7,167,0.001554346177726984,0.090635284781456,0.5916748046875
CIFAR10,ConvNetBN,dog-bird,1257,4,8,167,0.001092579448595643,0.0657687857747078,0.47607421875
CIFAR10,ConvNetBN,dog-bird,1257,4,9,166,0.0007839111203793436,0.045574937015771866,0.3526763916015625
CIFAR10,ConvNetBN,dog-bird,1257,4,10,167,0.0005600417498499155,0.03468881919980049,0.2789306640625
CIFAR10,ConvNetBN,dog-bird,1257,4,11,167,0.00039236852899193764,0.022889673709869385,0.16387939453125
CIFAR10,ConvNetBN,dog-bird,1257,4,12,166,0.0002459662646288052,0.015807898715138435,0.1215362548828125
CIFAR10,ConvNetBN,dog-bird,1257,4,13,167,0.00017530148033984005,0.010409330017864704,0.0633544921875
CIFAR10,ConvNetBN,dog-bird,1257,4,14,167,0.0001104659095290117,0.007170060649514198,0.05718994140625
CIFAR10,ConvNetBN,dog-bird,1257,4,15,166,7.328768333536573e-05,0.0049813545774668455,0.03668212890625
CIFAR10,ConvNetBN,dog-bird,1257,4,16,167,4.828093369724229e-05,0.003069645492359996,0.0224609375
CIFAR10,ConvNetBN,dog-bird,1257,4,17,167,3.2545420253882185e-05,0.002153663197532296,0.0150146484375
CIFAR10,ConvNetBN,dog-bird,1257,4,18,166,1.9669443645398133e-05,0.001214855641592294,0.00762939453125
CIFAR10,ConvNetBN,dog-bird,1257,4,19,167,1.2632970538106747e-05,0.0008110483177006245,0.0059814453125
CIFAR10,ConvNetBN,dog-bird,1257,4,20,167,7.086142431944609e-06,0.00042993691749870777,0.003082275390625
CIFAR10,ConvNetBN,dog-bird,1257,4,21,166,3.87179056815512e-06,0.0002456340298522264,0.001953125
CIFAR10,ConvNetBN,dog-bird,1257,4,22,167,1.9678657281474443e-06,0.00012400667765177786,0.0008544921875
CIFAR10,ConvNetBN,dog-bird,1257,4,23,167,8.52610128276865e-07,5.431757745100185e-05,0.0003662109375
CIFAR10,ConvNetBN,dog-bird,1257,4,24,166,3.158978074679908e-07,2.0338393369456753e-05,0.0001373291015625
CIFAR10,ConvNetBN,dog-bird,1257,4,25,167,1.3903111550916947e-07,8.418983270530589e-06,6.103515625e-05
CIFAR10,ConvNetBN,dog-bird,1257,4,26,167,2.023499057202116e-08,3.139688231623694e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,4,27,166,3.505318035834648e-09,3.2599825616763667e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1257,4,28,167,5.164642047361667e-10,3.650078156391956e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1257,4,29,167,2.354386303971001e-11,1.909818223705395e-12,0.0
CIFAR10,ConvNetBN,dog-bird,1257,4,30,166,5.730801135017932e-14,1.7908588904901913e-15,0.0
