timestamp	item	phase	state	rc	detail
2026-08-26T06:15:03+00:00	x02_K1_fc_AConvNetBN_SVGG13BN	experiment	running	-	physical_gpus=4,5
2026-08-26T06:15:03+00:00	x03_K1_fc_AResNet20BN_SConvNetBN	experiment	running	-	physical_gpus=4,5
2026-08-26T06:35:57+00:00	x01_K1_fc_AConvNetBN_SResNet20BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T06:36:00+00:00	x02_K1_fc_AConvNetBN_SVGG13BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T06:42:29+00:00	prefetch_wave_2	scheduler	started	-	x04-x06; combined with active x03 gives four trainings per physical GPU 4/5
2026-08-26T06:42:29+00:00	prefetch_x04_K1_fc_AResNet20BN_SVGG13BN	prefetch	running	-	physical_gpus=4,5; protected by normal run lock
2026-08-26T06:42:29+00:00	prefetch_x05_K1_fc_AVGG13BN_SConvNetBN	prefetch	running	-	physical_gpus=4,5; protected by normal run lock
2026-08-26T06:42:29+00:00	prefetch_x06_K1_fc_AVGG13BN_SResNet20BN	prefetch	running	-	physical_gpus=4,5; protected by normal run lock
2026-08-26T06:45:48+00:00	cross_VGG13BN_fc	protocol	verified	-	pinned=5; target 2171 free-win dropped; effective=4x4, matching existing table
2026-08-26T06:48:22+00:00	cross_VGG13BN_fc	protocol	clarified	-	historical ./cache absent; live cache drops target2171 free-win; effective=4x4 and disclosed
2026-08-26T07:25:18+00:00	x03_K1_fc_AResNet20BN_SConvNetBN	experiment	complete	0	physical_gpus=4,5
2026-08-26T07:25:18+00:00	experiment_wave_1	scheduler	complete	0	physical_gpus=4,5 children=3
2026-08-26T07:25:18+00:00	experiment_wave_2	scheduler	started	-	physical_gpus=4,5; configurations<=3
2026-08-26T07:25:18+00:00	x04_K1_fc_AResNet20BN_SVGG13BN	experiment	running	-	physical_gpus=4,5
2026-08-26T07:25:18+00:00	x05_K1_fc_AVGG13BN_SConvNetBN	experiment	running	-	physical_gpus=4,5
2026-08-26T07:25:18+00:00	x06_K1_fc_AVGG13BN_SResNet20BN	experiment	running	-	physical_gpus=4,5
2026-08-26T07:25:39+00:00	x04_K1_fc_AResNet20BN_SVGG13BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T07:25:39+00:00	x06_K1_fc_AVGG13BN_SResNet20BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T07:25:40+00:00	x05_K1_fc_AVGG13BN_SConvNetBN	experiment	complete	0	physical_gpus=4,5
2026-08-26T07:25:40+00:00	experiment_wave_2	scheduler	complete	0	physical_gpus=4,5 children=3
2026-08-26T07:25:40+00:00	experiment_wave_3	scheduler	started	-	physical_gpus=4,5; configurations<=3
2026-08-26T07:25:40+00:00	x07_K1_gradmatch_AConvNetBN_SResNet20BN	experiment	running	-	physical_gpus=4,5
2026-08-26T07:25:40+00:00	x08_K1_gradmatch_AConvNetBN_SVGG13BN	experiment	running	-	physical_gpus=4,5
