index	file	model	attack	pair	budget	method	estimate	walltime	command
57	b2040_attack_057_vgg13_gradmatch_dog_bird_b0_04_dpp_j.sh	VGG13BN	gradmatch	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
58	b2040_attack_058_vgg13_gradmatch_frog_airplane_b0_04_ours_std.sh	VGG13BN	gradmatch	frog-airplane	0.04	greedy	885	930	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
59	b2040_attack_059_vgg13_gradmatch_frog_airplane_b0_04_ours_j.sh	VGG13BN	gradmatch	frog-airplane	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
60	b2040_attack_060_vgg13_gradmatch_frog_airplane_b0_04_dpp_j.sh	VGG13BN	gradmatch	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
61	b2040_attack_061_resnet20_sapa_dog_bird_b0_04_ours_std.sh	ResNet20BN	sapa	dog-bird	0.04	greedy	510	555	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
62	b2040_attack_062_resnet20_sapa_dog_bird_b0_04_ours_j.sh	ResNet20BN	sapa	dog-bird	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
63	b2040_attack_063_resnet20_sapa_dog_bird_b0_04_dpp_j.sh	ResNet20BN	sapa	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
64	b2040_attack_064_resnet20_sapa_frog_airplane_b0_04_ours_std.sh	ResNet20BN	sapa	frog-airplane	0.04	greedy	510	555	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
65	b2040_attack_065_resnet20_sapa_frog_airplane_b0_04_ours_j.sh	ResNet20BN	sapa	frog-airplane	0.04	greedy_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
66	b2040_attack_066_resnet20_sapa_frog_airplane_b0_04_dpp_j.sh	ResNet20BN	sapa	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
67	b2040_attack_067_vgg13_sapa_dog_bird_b0_04_ours_std.sh	VGG13BN	sapa	dog-bird	0.04	greedy	750	795	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
68	b2040_attack_068_vgg13_sapa_dog_bird_b0_04_ours_j.sh	VGG13BN	sapa	dog-bird	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
69	b2040_attack_069_vgg13_sapa_dog_bird_b0_04_dpp_j.sh	VGG13BN	sapa	dog-bird	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
70	b2040_attack_070_vgg13_sapa_frog_airplane_b0_04_ours_std.sh	VGG13BN	sapa	frog-airplane	0.04	greedy	750	795	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
71	b2040_attack_071_vgg13_sapa_frog_airplane_b0_04_ours_j.sh	VGG13BN	sapa	frog-airplane	0.04	greedy_j	1710	1755	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
72	b2040_attack_072_vgg13_sapa_frog_airplane_b0_04_dpp_j.sh	VGG13BN	sapa	frog-airplane	0.04	dpp_j	1725	1770	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.04 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
