index	file	model	attack	pair	budget	method	estimate	walltime	command
31	b2040_attack_031_vgg13_gradmatch_dog_bird_b0_02_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.02	greedy	495	540	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
32	b2040_attack_032_vgg13_gradmatch_dog_bird_b0_02_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
33	b2040_attack_033_vgg13_gradmatch_dog_bird_b0_02_dpp_j.sh	VGG13BN	gradmatch	dog-bird	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
34	b2040_attack_034_vgg13_gradmatch_frog_airplane_b0_02_ours_std.sh	VGG13BN	gradmatch	frog-airplane	0.02	greedy	495	540	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
35	b2040_attack_035_vgg13_gradmatch_frog_airplane_b0_02_ours_j.sh	VGG13BN	gradmatch	frog-airplane	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
36	b2040_attack_036_vgg13_gradmatch_frog_airplane_b0_02_dpp_j.sh	VGG13BN	gradmatch	frog-airplane	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
37	b2040_attack_037_resnet20_sapa_dog_bird_b0_02_ours_std.sh	ResNet20BN	sapa	dog-bird	0.02	greedy	330	375	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
38	b2040_attack_038_resnet20_sapa_dog_bird_b0_02_ours_j.sh	ResNet20BN	sapa	dog-bird	0.02	greedy_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
39	b2040_attack_039_resnet20_sapa_dog_bird_b0_02_dpp_j.sh	ResNet20BN	sapa	dog-bird	0.02	dpp_j	1080	1125	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=dpp SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
40	b2040_attack_040_resnet20_sapa_frog_airplane_b0_02_ours_std.sh	ResNet20BN	sapa	frog-airplane	0.02	greedy	330	375	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=frog-airplane MODEL=ResNet20BN ATTACK=sapa SHARP_MODE=worst SHARP_SIGMA=0.05 BUDGETS=0.02 SELECT=ours SEL_ALPHA=2.0 NUM_TARGETS=8 NUM_VICTIMS=6 sh sel_dpp.sh
