model,attack,base,class_pair,pair_order,seed,budget,num_poisons,epsilon,fc_mode,lambda_margin,base_dist,num_surrogates,craft_ensemble,restarts,craft_steps,craft_alpha,target_select,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,cta_drop_mean
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.36666666666666664,0.339934634239519,0.8554666666666668,0.0078924788388834,0.8476333333333333,0.015777057886550178,0.00783333333333347
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,25,10,60,0.75,0.2608745973749755,0.8526533333333333,0.007974197277608716,0.8476333333333333,0.015777057886550178,0.005019999999999913
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.39999999999999997,0.30912061651652345,0.8549566666666666,0.007325488986333189,0.8476333333333333,0.015777057886550178,0.007323333333333237
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,25,10,60,0.9,0.19999999999999998,0.8531983333333334,0.007988251616523407,0.8476333333333333,0.015777057886550178,0.005565000000000042
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,35,10,60,0.2,0.19436506316151,0.8526150000000001,0.007984105564599376,0.8476333333333333,0.015777057886550178,0.004981666666666773
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,35,10,60,0.5166666666666667,0.24094720491334934,0.8546600000000002,0.007677938091267301,0.8476333333333333,0.015777057886550178,0.007026666666666848
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.13333333333333333,0.17950549357115014,0.8551883333333333,0.006950158071743564,0.8476333333333333,0.015777057886550178,0.007554999999999978
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.0,0.0,0.85215,0.009507479511766864,0.8476333333333333,0.015777057886550178,0.004516666666666613
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.21666666666666665,0.27938424357067015,0.8553666666666667,0.007315364348790534,0.8476333333333333,0.015777057886550178,0.00773333333333337
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.05,0.10671873729054747,0.8523333333333335,0.009001604795195626,0.8476333333333333,0.015777057886550178,0.0047000000000001485
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.16666666666666666,0.19720265943665388,0.85202,0.008531857945371573,0.8476333333333333,0.015777057886550178,0.00438666666666665
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.55,0.2793842435706702,0.8549100000000001,0.006039114173452926,0.8476333333333333,0.015777057886550178,0.007276666666666709
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.7666666666666666,0.3,0.8544966666666666,0.006851057501502149,0.8476333333333333,0.015777057886550178,0.006863333333333221
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.2833333333333333,0.25873624493766706,0.8534966666666668,0.00772681406244226,0.8476333333333333,0.015777057886550178,0.0058633333333334425
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.5666666666666667,0.30912061651652345,0.8510833333333333,0.009811985301433934,0.8476333333333333,0.015777057886550178,0.003449999999999953
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.9666666666666666,0.1,0.8529033333333333,0.008707888505385345,0.8476333333333333,0.015777057886550178,0.005269999999999997
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.08333333333333333,0.11180339887498948,0.8374783333333333,0.003485211216299841,0.8394166666666667,0.0032168393736019068,-0.0019383333333333752
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.18333333333333332,0.1740051084818425,0.8369333333333332,0.0030232800436317876,0.8394166666666667,0.0032168393736019068,-0.002483333333333504
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.08333333333333333,0.11180339887498948,0.8376433333333334,0.003890988163550342,0.8394166666666667,0.0032168393736019068,-0.0017733333333332935
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.16666666666666666,0.14907119849998599,0.8385750000000001,0.003603453204913307,0.8394166666666667,0.0032168393736019068,-0.0008416666666666295
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.3,0.3055050463303894,0.8372349999999998,0.0037379952291747686,0.8394166666666667,0.0032168393736019068,-0.0021816666666668594
ResNet20BN,fc,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,2,10,60,0.33333333333333337,0.32489314482696546,0.8356550000000001,0.0035892164883160834,0.8394166666666667,0.0032168393736019068,-0.003761666666666552
