run,attack_dir,defense,defense_tag,aug,model,attack,base,sel,class_pair,seed,budget,epsilon,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,frac_poison_dropped_mean,frac_clean_dropped_mean,cta_drop_mean
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.02,0.0313725,5,20,0.0,0.0,0.9012249999999999,0.002236487200947059,0.903275,0.0016588776326179246,,,-0.0020500000000001073
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,5,20,0.0,0.0,0.90199,0.0020675831301304472,0.902525,0.0018157298807917558,,,-0.0005350000000000632
CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.002_eps8_seed42_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.002_eps8_seed42_ce5_tgt14,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,random,random,dog-bird,42,0.002,0.0313725,5,20,0.05,0.10000000000000002,0.9039049999999997,0.0024416131962290855,0.903775,0.0010732543966832603,,,0.00012999999999974143
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,none,none+aug-randaug,randaug,ResNet20BN,fc,random,random,frog-airplane,42,0.01,0.0313725,5,20,0.0,0.0,0.9026599999999998,0.0023253816890996654,0.902075,0.002938005275693,,,0.0005849999999998357
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-cutout,cutout,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,0.0313725,5,20,0.0,0.0,0.8943949999999999,0.002912640554548393,0.8991250000000001,0.002016649448962297,,,-0.004730000000000123
CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,5,20,0.6,0.3391164991562634,0.900695,0.002683556408946894,0.9019,0.0010440306508910598,,,-0.0012050000000000116
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-cutout,cutout,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,20,0.0,0.0,0.9001899999999999,0.0025228753437298566,0.8991250000000001,0.002016649448962297,,,0.0010649999999998716
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.9024199999999999,0.0022846443924602294,0.9021750000000001,0.0012616952880945495,,,0.0002449999999998287
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,none,none+aug-randaug,randaug,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.90288,0.0017400000000000013,0.9021750000000001,0.0012616952880945495,,,0.0007049999999999557
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,5,20,0.0,0.0,0.9008399999999999,0.002481007859721537,0.9021750000000001,0.0012616952880945495,,,-0.0013350000000001971
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,0.0313725,5,20,0.2,0.18708286933869708,0.89932,0.0023942848619159843,0.9021750000000001,0.0012616952880945495,,,-0.002855000000000052
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.002,0.0313725,5,26,0.06666666666666667,0.0816496580927726,0.8963461538461538,0.0022330094851896027,0.8967,0.0010770329614269059,,,-0.00035384615384626006
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-randaug,randaug,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,20,0.05,0.10000000000000002,0.9023599999999998,0.0025844535205725794,0.9021750000000001,0.0012616952880945495,,,0.00018499999999976868
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.002_eps8_seed42_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,fc,random,random,dog-bird,42,0.002,0.0313725,10,60,0.05,0.10671873729054748,0.8966733333333334,0.0020436786005197166,0.8967,0.0010770329614269059,,,-2.666666666661932e-05
