combo,ranking,m,overlap
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",5,0.7875
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",7,0.8393
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",9,0.8472
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",12,0.8229
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",16,0.7383
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",22,0.7045
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",30,0.6312
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",40,0.5859
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",53,0.5696
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",72,0.5599
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",96,0.5488
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",130,0.5361
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",174,0.5259
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",234,0.5131
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",315,0.5145
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",423,0.5197
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",569,0.5370
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",765,0.5610
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",1029,0.5932
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",1383,0.6382
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",1860,0.7000
ConvNetBN/frog-airplane,"GRAFT+ with $R_i=\langle h_i,h_t\rangle$  (Alg. 1 as printed)",2500,0.7771
ConvNetBN/frog-airplane,random selection,5,0.0010
ConvNetBN/frog-airplane,random selection,7,0.0014
ConvNetBN/frog-airplane,random selection,9,0.0018
ConvNetBN/frog-airplane,random selection,12,0.0024
ConvNetBN/frog-airplane,random selection,16,0.0032
ConvNetBN/frog-airplane,random selection,22,0.0044
ConvNetBN/frog-airplane,random selection,30,0.0060
ConvNetBN/frog-airplane,random selection,40,0.0080
ConvNetBN/frog-airplane,random selection,53,0.0106
ConvNetBN/frog-airplane,random selection,72,0.0144
ConvNetBN/frog-airplane,random selection,96,0.0192
ConvNetBN/frog-airplane,random selection,130,0.0260
ConvNetBN/frog-airplane,random selection,174,0.0348
ConvNetBN/frog-airplane,random selection,234,0.0468
ConvNetBN/frog-airplane,random selection,315,0.0630
ConvNetBN/frog-airplane,random selection,423,0.0846
ConvNetBN/frog-airplane,random selection,569,0.1138
ConvNetBN/frog-airplane,random selection,765,0.1530
ConvNetBN/frog-airplane,random selection,1029,0.2058
ConvNetBN/frog-airplane,random selection,1383,0.2766
ConvNetBN/frog-airplane,random selection,1860,0.3720
ConvNetBN/frog-airplane,random selection,2500,0.5000
