dataset,class_pair,target_id,surrogate_id,n_candidates,spearman_neg_margin_residual_dot,margin_source,cache_shard
CIFAR10,dog-bird,1257,31,5000,0.9961024828600058,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_031.npz
CIFAR10,dog-bird,1257,32,5000,0.9972535339701415,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_032.npz
CIFAR10,dog-bird,1257,33,5000,0.9966231867368465,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_033.npz
CIFAR10,dog-bird,1257,34,5000,0.996366896270676,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_034.npz
CIFAR10,dog-bird,1257,35,5000,0.9966328779852343,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_035.npz
CIFAR10,dog-bird,1257,36,5000,0.9970804884912198,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_036.npz
CIFAR10,dog-bird,1257,37,5000,0.9964783341311335,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_037.npz
CIFAR10,dog-bird,1257,38,5000,0.9966753732750151,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_038.npz
CIFAR10,dog-bird,1257,39,5000,0.9967642066624907,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_039.npz
CIFAR10,dog-bird,1257,40,5000,0.9966566291782654,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_040.npz
CIFAR10,dog-bird,1257,41,5000,0.996667349738534,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_041.npz
CIFAR10,dog-bird,1257,42,5000,0.9964749094989118,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_042.npz
CIFAR10,dog-bird,1257,43,5000,0.9966236947449479,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_043.npz
CIFAR10,dog-bird,1257,44,5000,0.9966889344275576,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_044.npz
CIFAR10,dog-bird,1257,45,5000,0.9962494542819783,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_045.npz
CIFAR10,dog-bird,1257,46,5000,0.9966598474823941,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_046.npz
CIFAR10,dog-bird,1257,47,5000,0.9961544768701792,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_047.npz
CIFAR10,dog-bird,1257,48,5000,0.9966664213706571,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_048.npz
CIFAR10,dog-bird,1257,49,5000,0.9968412829776515,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1257/panel_b_surrogate_049.npz
CIFAR10,dog-bird,1547,0,5000,0.9971807748952312,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_000.npz
CIFAR10,dog-bird,1547,1,5000,0.9970342140652974,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_001.npz
CIFAR10,dog-bird,1547,2,5000,0.997812738336457,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_002.npz
CIFAR10,dog-bird,1547,3,5000,0.9964289764730734,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_003.npz
CIFAR10,dog-bird,1547,4,5000,0.9980745810109835,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_004.npz
CIFAR10,dog-bird,1547,5,5000,0.9981031880521277,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_005.npz
CIFAR10,dog-bird,1547,6,5000,0.99588899615556,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_006.npz
CIFAR10,dog-bird,1547,7,5000,0.9982381518655262,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_007.npz
CIFAR10,dog-bird,1547,8,5000,0.997502874036055,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_008.npz
CIFAR10,dog-bird,1547,9,5000,0.9966323903292958,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_009.npz
CIFAR10,dog-bird,1547,10,5000,0.998161096214444,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_010.npz
