model,attack,pair,tags,budget,asr_random,asr_dpp,budget_equiv,multiplier,censored
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.001,18.333333333333336,41.66666666666667,0.003465724215775732,3.4657242157757318,0
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.002,21.666666666666668,58.33333333333333,0.006299605249474363,3.1498026247371813,0
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.005,55.0,85.0,0.015874010519681993,3.1748021039363983,0
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.01,65.0,88.33333333333334,0.01714487965706146,1.7144879657061458,0
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.02,95.0,96.66666666666667,0.02828427124746195,1.4142135623730974,0
ResNet20BN,sapa,dog-bird,worst0.05_ce5_tgt14,0.04,98.33333333333333,100.0,0.04000000000000001,1.0000000000000002,1
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.001,1.6666666666666667,20.000000000000004,0.009330329915368078,9.330329915368077,0
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.002,5.0,23.333333333333336,0.010650410894399626,5.325205447199813,0
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.005,3.3333333333333335,46.66666666666667,0.022345742761444406,4.469148552288881,0
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.01,21.666666666666668,71.66666666666666,0.033869812494501085,3.3869812494501086,0
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.02,40.0,95.0,0.04000000000000001,2.0000000000000004,1
ResNet20BN,sapa,frog-airplane,worst0.05_ce5_tgt10,0.04,81.66666666666666,96.66666666666666,0.04000000000000001,1.0000000000000002,1
VGG13BN,fc,dog-bird,ce5_tgt3,0.001,21.666666666666664,35.0,0.0015874010519682001,1.5874010519682,0
VGG13BN,fc,dog-bird,ce5_tgt3,0.002,41.66666666666667,51.66666666666667,0.01319507910772895,6.5975395538644745,0
VGG13BN,fc,dog-bird,ce5_tgt3,0.005,45.0,53.333333333333336,0.01414213562373095,2.8284271247461903,0
VGG13BN,fc,dog-bird,ce5_tgt3,0.01,41.66666666666667,65.0,0.023784142300054427,2.3784142300054425,0
VGG13BN,fc,dog-bird,ce5_tgt3,0.02,61.666666666666664,51.66666666666667,0.01319507910772895,0.6597539553864474,0
VGG13BN,fc,dog-bird,ce5_tgt3,0.04,74.99999999999999,44.99999999999999,0.004999999999999989,0.12499999999999972,0
VGG13BN,fc,frog-airplane,ce5_tgt3,0.001,1.6666666666666667,6.666666666666667,0.006299605249474363,6.299605249474363,0
VGG13BN,fc,frog-airplane,ce5_tgt3,0.002,1.6666666666666667,6.666666666666667,0.006299605249474363,3.1498026247371813,0
VGG13BN,fc,frog-airplane,ce5_tgt3,0.005,3.3333333333333335,25.0,0.04000000000000001,8.000000000000002,1
VGG13BN,fc,frog-airplane,ce5_tgt3,0.01,13.333333333333334,30.0,0.04000000000000001,4.000000000000001,1
VGG13BN,fc,frog-airplane,ce5_tgt3,0.02,10.000000000000002,23.333333333333336,0.04000000000000001,2.0000000000000004,1
VGG13BN,fc,frog-airplane,ce5_tgt3,0.04,16.666666666666668,20.0,0.04000000000000001,1.0000000000000002,1
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.001,13.333333333333334,63.333333333333336,0.006527558488549044,6.527558488549044,0
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.002,21.666666666666664,80.0,0.011224620483093728,5.612310241546863,0
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.005,55.0,96.66666666666667,0.020000000000000004,4.000000000000001,0
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.01,76.66666666666667,100.0,0.04000000000000001,4.000000000000001,1
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.02,96.66666666666667,100.0,0.04000000000000001,2.0000000000000004,1
VGG13BN,gradmatch,dog-bird,ce5_tgt50,0.04,98.33333333333334,100.0,0.04000000000000001,1.0000000000000002,1
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.001,0.0,35.00000000000001,0.011771466939089181,11.77146693908918,0
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.002,5.0,48.333333333333336,0.01631141966965551,8.155709834827753,0
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.005,16.666666666666668,76.66666666666666,0.03792310057356687,7.584620114713374,0
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.01,28.333333333333336,78.33333333333334,0.04000000000000001,4.000000000000001,1
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.02,56.666666666666664,90.0,0.04000000000000001,2.0000000000000004,1
VGG13BN,gradmatch,frog-airplane,ce5_tgt12,0.04,78.33333333333333,90.0,0.04000000000000001,1.0000000000000002,1
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.001,11.666666666666668,51.66666666666667,0.003976353643835253,3.9763536438352527,0
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.002,26.666666666666668,76.66666666666667,0.007517033269280269,3.7585166346401344,0
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.005,60.000000000000014,98.33333333333334,0.018114473285278147,3.6228946570556295,0
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.01,88.33333333333334,100.0,0.020000000000000004,2.0000000000000004,0
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.02,100.0,100.0,0.020000000000000004,1.0000000000000002,0
VGG13BN,sapa,dog-bird,worst0.05_ce5_tgt50,0.04,100.0,100.0,0.020000000000000004,0.5000000000000001,0
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.001,0.0,25.000000000000004,0.011095694720678449,11.095694720678448,0
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.002,10.000000000000002,51.66666666666667,0.01931872657849692,9.659363289248459,0
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.005,15.0,73.33333333333334,0.03098519284533312,6.197038569066624,0
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.01,20.0,86.66666666666666,0.04000000000000001,4.000000000000001,1
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.02,53.33333333333333,88.33333333333333,0.04000000000000001,2.0000000000000004,1
VGG13BN,sapa,frog-airplane,worst0.05_ce5_tgt12,0.04,85.00000000000001,90.0,0.04000000000000001,1.0000000000000002,1
