model,attack,pair,budget,eps,seed,tags,target_idx,n_victims,sel_a,asr_a,sel_b,asr_b,gain
ConvNetBN,fc,truck-automobile,0.005,8,42,ce5,1396,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,fc,truck-automobile,0.005,8,42,ce5,2477,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,fc,truck-automobile,0.005,8,42,ce5,261,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,fc,truck-automobile,0.005,8,42,ce5,726,5,random,0.0,dpp2,40.0,40.0
ConvNetBN,fc,truck-automobile,0.005,8,42,ce5,8215,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,gradmatch,airplane-bird,0.005,8,42,ce5,1083,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,gradmatch,airplane-bird,0.005,8,42,ce5,160,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,gradmatch,airplane-bird,0.005,8,42,ce5,6277,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,gradmatch,airplane-bird,0.005,8,42,ce5,8956,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,gradmatch,airplane-bird,0.005,8,42,ce5,9915,5,random,0.0,dpp2,80.0,80.0
ConvNetBN,gradmatch,cat-truck,0.005,8,42,ce5,2174,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,cat-truck,0.005,8,42,ce5,4761,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,cat-truck,0.005,8,42,ce5,6579,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,cat-truck,0.005,8,42,ce5,9378,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,cat-truck,0.005,8,42,ce5,9743,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.002,8,42,ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.002,8,42,ce5,3522,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,gradmatch,dog-bird,0.002,8,42,ce5,3741,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,gradmatch,dog-bird,0.002,8,42,ce5,6857,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,gradmatch,dog-bird,0.002,8,42,ce5,8252,5,random,0.0,dpp2,20.0,20.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,ce5,3522,5,random,0.0,dpp2,100.0,100.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,ce5,3741,5,random,20.0,dpp2,40.0,20.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,ce5,6857,5,random,40.0,dpp2,100.0,60.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,ce5,8252,5,random,0.0,dpp2,80.0,80.0
