dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
CIFAR10,0.01,50000,5000,500,0.1,standardized,exact,graft_plus,60,True,0.6953333333333334,0.702,0.678,0.7224999999999999,0.534287948803859
CIFAR10,0.01,50000,5000,500,0.1,standardized,exact,hybrid,60,True,0.6766000000000001,0.681,0.653,0.703,0.5133623489978307
CIFAR10,0.01,50000,5000,500,0.1,standardized,exact,random,60,True,0.09999999999999996,0.1,0.1,0.1,0.05263157894736843
CIFAR10,0.01,50000,5000,500,0.1,standardized,graft,graft,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.01,50000,5000,500,0.1,standardized,graft,graft_plus,60,True,0.5008,0.489,0.4585,0.555,0.33800501056748206
CIFAR10,0.01,50000,5000,500,0.1,standardized,graft,random,60,True,0.09999999999999996,0.1,0.1,0.1,0.05263157894736843
CIFAR10,0.01,50000,5000,500,0.1,standardized,graft_plus,graft_plus,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.01,50000,5000,500,0.1,standardized,graft_plus,random,60,True,0.09999999999999996,0.1,0.1,0.1,0.05263157894736843
CIFAR10,0.01,50000,5000,500,0.1,standardized,hybrid,graft,60,True,0.4388,0.432,0.394,0.468,0.28378259509757076
CIFAR10,0.01,50000,5000,500,0.1,standardized,hybrid,graft_plus,60,True,0.8461,0.851,0.823,0.8685,0.7343386574116919
CIFAR10,0.01,50000,5000,500,0.1,standardized,hybrid,hybrid,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.01,50000,5000,500,0.1,standardized,hybrid,random,60,True,0.09999999999999996,0.1,0.1,0.1,0.05263157894736843
CIFAR10,0.01,50000,5000,500,0.1,standardized,random,random,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.02,50000,5000,1000,0.2,standardized,exact,exact,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.02,50000,5000,1000,0.2,standardized,exact,graft,60,True,0.34946666666666665,0.3545,0.3255,0.379,0.21288474665823628
CIFAR10,0.02,50000,5000,1000,0.2,standardized,exact,graft_plus,60,True,0.6805166666666668,0.6855,0.66425,0.7064999999999999,0.5168588323316908
CIFAR10,0.02,50000,5000,1000,0.2,standardized,exact,hybrid,60,True,0.6598166666666666,0.6655,0.62,0.719,0.4958817774330195
CIFAR10,0.02,50000,5000,1000,0.2,standardized,exact,random,60,True,0.19999999999999993,0.2,0.2,0.2,0.1111111111111111
CIFAR10,0.02,50000,5000,1000,0.2,standardized,graft,graft,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.02,50000,5000,1000,0.2,standardized,graft,graft_plus,60,True,0.6673833333333333,0.672,0.62225,0.717,0.5051312702369932
CIFAR10,0.02,50000,5000,1000,0.2,standardized,graft,random,60,True,0.19999999999999993,0.2,0.2,0.2,0.1111111111111111
CIFAR10,0.02,50000,5000,1000,0.2,standardized,graft_plus,graft_plus,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.02,50000,5000,1000,0.2,standardized,graft_plus,random,60,True,0.19999999999999993,0.2,0.2,0.2,0.1111111111111111
CIFAR10,0.02,50000,5000,1000,0.2,standardized,hybrid,graft,60,True,0.5494,0.5555000000000001,0.52375,0.576,0.3801133437110155
CIFAR10,0.02,50000,5000,1000,0.2,standardized,hybrid,graft_plus,60,True,0.7947166666666667,0.8045,0.758,0.8282499999999999,0.6618391291759774
CIFAR10,0.02,50000,5000,1000,0.2,standardized,hybrid,hybrid,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.02,50000,5000,1000,0.2,standardized,hybrid,random,60,True,0.19999999999999993,0.2,0.2,0.2,0.1111111111111111
CIFAR10,0.02,50000,5000,1000,0.2,standardized,random,random,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.04,50000,5000,2000,0.4,standardized,exact,exact,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.04,50000,5000,2000,0.4,standardized,exact,graft,60,True,0.5693666666666667,0.5685,0.545875,0.593125,0.3990093954315453
CIFAR10,0.04,50000,5000,2000,0.4,standardized,exact,graft_plus,60,True,0.7225583333333334,0.72925,0.7110000000000001,0.7395,0.566220753797614
CIFAR10,0.04,50000,5000,2000,0.4,standardized,exact,hybrid,60,True,0.6619416666666665,0.68775,0.5840000000000001,0.7135,0.4996440962493365
CIFAR10,0.04,50000,5000,2000,0.4,standardized,exact,random,60,True,0.39999999999999986,0.4,0.4,0.4,0.25
CIFAR10,0.04,50000,5000,2000,0.4,standardized,graft,graft,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.04,50000,5000,2000,0.4,standardized,graft,graft_plus,60,True,0.8346250000000001,0.83775,0.805875,0.867125,0.7189497025284086
CIFAR10,0.04,50000,5000,2000,0.4,standardized,graft,random,60,True,0.39999999999999986,0.4,0.4,0.4,0.25
CIFAR10,0.04,50000,5000,2000,0.4,standardized,graft_plus,graft_plus,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.04,50000,5000,2000,0.4,standardized,graft_plus,random,60,True,0.39999999999999986,0.4,0.4,0.4,0.25
CIFAR10,0.04,50000,5000,2000,0.4,standardized,hybrid,graft,60,True,0.6303750000000001,0.64125,0.617875,0.6477499999999999,0.4609299041418825
CIFAR10,0.04,50000,5000,2000,0.4,standardized,hybrid,graft_plus,60,True,0.7222750000000001,0.738,0.68675,0.766125,0.5694417036613764
CIFAR10,0.04,50000,5000,2000,0.4,standardized,hybrid,hybrid,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR10,0.04,50000,5000,2000,0.4,standardized,hybrid,random,60,True,0.39999999999999986,0.4,0.4,0.4,0.25
CIFAR10,0.04,50000,5000,2000,0.4,standardized,random,random,60,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.001,50000,500,50,0.1,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.001,50000,500,50,0.1,standardized,exact,graft,10,True,0.348,0.36,0.30000000000000004,0.395,0.2126496523863522
CIFAR100,0.001,50000,500,50,0.1,standardized,exact,graft_plus,10,True,0.6379999999999999,0.64,0.61,0.675,0.4698977609765427
CIFAR100,0.001,50000,500,50,0.1,standardized,exact,hybrid,10,True,0.5800000000000001,0.58,0.56,0.615,0.4092291066806414
CIFAR100,0.001,50000,500,50,0.1,standardized,exact,random,10,True,0.1,0.1,0.1,0.1,0.05263157894736842
CIFAR100,0.001,50000,500,50,0.1,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.001,50000,500,50,0.1,standardized,graft,graft_plus,10,True,0.6839999999999999,0.68,0.68,0.695,0.5219064505351488
CIFAR100,0.001,50000,500,50,0.1,standardized,graft,random,10,True,0.1,0.1,0.1,0.1,0.05263157894736842
CIFAR100,0.001,50000,500,50,0.1,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.001,50000,500,50,0.1,standardized,graft_plus,random,10,True,0.1,0.1,0.1,0.1,0.05263157894736842
CIFAR100,0.001,50000,500,50,0.1,standardized,hybrid,graft,10,True,0.562,0.58,0.53,0.595,0.3924902392721692
CIFAR100,0.001,50000,500,50,0.1,standardized,hybrid,graft_plus,10,True,0.8,0.81,0.785,0.82,0.6694250029122808
CIFAR100,0.001,50000,500,50,0.1,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.001,50000,500,50,0.1,standardized,hybrid,random,10,True,0.1,0.1,0.1,0.1,0.05263157894736842
CIFAR100,0.001,50000,500,50,0.1,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.002,50000,500,100,0.2,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.002,50000,500,100,0.2,standardized,exact,graft,10,True,0.44499999999999995,0.435,0.43,0.46749999999999997,0.2866582616429325
CIFAR100,0.002,50000,500,100,0.2,standardized,exact,graft_plus,10,True,0.688,0.69,0.67,0.7075,0.5253657456554534
CIFAR100,0.002,50000,500,100,0.2,standardized,exact,hybrid,10,True,0.647,0.645,0.6125,0.6675,0.47931286185734717
CIFAR100,0.002,50000,500,100,0.2,standardized,exact,random,10,True,0.2,0.2,0.2,0.2,0.11111111111111112
CIFAR100,0.002,50000,500,100,0.2,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
