dataset,model,class_pair,target_idx,poison_rho,train_set_size,candidate_count,m,candidate_fraction,budget_valid,invalid_reason,hybrid_scale,method_left,method_right,intersection,overlap_fraction,jaccard
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,exact,random,2.0,0.02,0.010101010101010102
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,hybrid,hybrid,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,hybrid,graft,22,0.22,0.12359550561797752
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,hybrid,graft_plus,95,0.95,0.9047619047619048
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,hybrid,random,2.0,0.02,0.010101010101010102
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,graft,graft,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,graft,graft_plus,26,0.26,0.14942528735632185
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,graft,random,2.0,0.02,0.010101010101010102
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,graft_plus,graft_plus,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,graft_plus,random,2.0,0.02,0.010101010101010102
CIFAR10,ConvNetBN,dog-bird,1257,0.002,50000,5000,100,0.02,True,,standardized,random,random,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,exact,exact,250.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,exact,hybrid,174,0.696,0.5337423312883436
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,exact,graft,38,0.152,0.08225108225108226
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,exact,graft_plus,170,0.68,0.5151515151515151
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,exact,random,12.5,0.05,0.02564102564102564
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,hybrid,hybrid,250.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,hybrid,graft,81,0.324,0.19331742243436753
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,hybrid,graft_plus,223,0.892,0.8050541516245487
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,hybrid,random,12.5,0.05,0.02564102564102564
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,graft,graft,250.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,graft,graft_plus,103,0.412,0.2594458438287154
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,graft,random,12.5,0.05,0.02564102564102564
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,graft_plus,graft_plus,250.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,graft_plus,random,12.5,0.05,0.02564102564102564
CIFAR10,ConvNetBN,dog-bird,1257,0.005,50000,5000,250,0.05,True,,standardized,random,random,250.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,exact,exact,500.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,exact,hybrid,350,0.7,0.5384615384615384
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,exact,graft,112,0.224,0.12612612612612611
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,exact,graft_plus,348,0.696,0.5337423312883436
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,exact,random,50.0,0.1,0.05263157894736842
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,hybrid,hybrid,500.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,hybrid,graft,207,0.414,0.2610340479192938
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,hybrid,graft_plus,427,0.854,0.7452006980802792
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,hybrid,random,50.0,0.1,0.05263157894736842
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,graft,graft,500.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,graft,graft_plus,256,0.512,0.34408602150537637
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,graft,random,50.0,0.1,0.05263157894736842
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,graft_plus,graft_plus,500.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,graft_plus,random,50.0,0.1,0.05263157894736842
CIFAR10,ConvNetBN,dog-bird,1257,0.01,50000,5000,500,0.1,True,,standardized,random,random,500.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,exact,exact,1000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,exact,hybrid,701,0.701,0.5396458814472671
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,exact,graft,354,0.354,0.21506682867557717
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,exact,graft_plus,686,0.686,0.5220700152207002
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,exact,random,200.0,0.2,0.1111111111111111
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,hybrid,hybrid,1000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,hybrid,graft,517,0.517,0.34861766689143625
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,hybrid,graft_plus,815,0.815,0.6877637130801688
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,hybrid,random,200.0,0.2,0.1111111111111111
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,graft,graft,1000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,graft,graft_plus,668,0.668,0.5015015015015015
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,graft,random,200.0,0.2,0.1111111111111111
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,graft_plus,graft_plus,1000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,graft_plus,random,200.0,0.2,0.1111111111111111
CIFAR10,ConvNetBN,dog-bird,1257,0.02,50000,5000,1000,0.2,True,,standardized,random,random,1000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,exact,exact,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,exact,hybrid,1427,0.7135,0.5546055188495919
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,exact,graft,1151,0.5755,0.404001404001404
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,exact,graft_plus,1472,0.736,0.5822784810126582
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,exact,random,800.0,0.4,0.25
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,hybrid,hybrid,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,hybrid,graft,1309,0.6545,0.4864362690449647
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,hybrid,graft_plus,1549,0.7745,0.6319869441044471
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,hybrid,random,800.0,0.4,0.25
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,graft,graft,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,graft,graft_plus,1660,0.83,0.7094017094017094
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,graft,random,800.0,0.4,0.25
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,graft_plus,graft_plus,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,graft_plus,random,800.0,0.4,0.25
CIFAR10,ConvNetBN,dog-bird,1257,0.04,50000,5000,2000,0.4,True,,standardized,random,random,2000.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,exact,exact,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,exact,hybrid,32,0.64,0.47058823529411764
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,exact,graft,1,0.02,0.010101010101010102
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,exact,graft_plus,37,0.74,0.5873015873015873
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,exact,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,hybrid,hybrid,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,hybrid,graft,8,0.16,0.08695652173913043
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,hybrid,graft_plus,43,0.86,0.7543859649122807
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,hybrid,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,graft,graft,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,graft,graft_plus,8,0.16,0.08695652173913043
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,graft,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,graft_plus,graft_plus,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,graft_plus,random,0.5,0.01,0.005025125628140704
CIFAR10,ConvNetBN,dog-bird,8252,0.001,50000,5000,50,0.01,True,,standardized,random,random,50.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.002,50000,5000,100,0.02,True,,standardized,exact,exact,100.0,1.0,1.0
CIFAR10,ConvNetBN,dog-bird,8252,0.002,50000,5000,100,0.02,True,,standardized,exact,hybrid,69,0.69,0.5267175572519084
CIFAR10,ConvNetBN,dog-bird,8252,0.002,50000,5000,100,0.02,True,,standardized,exact,graft,8,0.08,0.041666666666666664
CIFAR10,ConvNetBN,dog-bird,8252,0.002,50000,5000,100,0.02,True,,standardized,exact,graft_plus,73,0.73,0.5748031496062992
