index	file	model	attack	pair	budget	defense	selection	jacobian	command
27	missing_defense_027_resnet20_sapa_dog_bird_b0_01_epic_dpp_j.sh	ResNet20BN	sapa	dog-bird	0.01	epic	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
28	missing_defense_028_resnet20_sapa_dog_bird_b0_01_friends_ours_std.sh	ResNet20BN	sapa	dog-bird	0.01	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
29	missing_defense_029_resnet20_sapa_dog_bird_b0_01_friends_ours_j.sh	ResNet20BN	sapa	dog-bird	0.01	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
30	missing_defense_030_resnet20_sapa_dog_bird_b0_01_friends_dpp_j.sh	ResNet20BN	sapa	dog-bird	0.01	friends	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=ResNet20BN ATTACK=sapa TARGET_SELECT=14 BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
31	missing_defense_031_vgg13_gradmatch_dog_bird_b0_005_epic_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.005	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
32	missing_defense_032_vgg13_gradmatch_dog_bird_b0_005_epic_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.005	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
33	missing_defense_033_vgg13_gradmatch_dog_bird_b0_005_friends_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.005	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
34	missing_defense_034_vgg13_gradmatch_dog_bird_b0_005_friends_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.005	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
35	missing_defense_035_vgg13_gradmatch_dog_bird_b0_01_epic_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.01	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
36	missing_defense_036_vgg13_gradmatch_dog_bird_b0_01_epic_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.01	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
37	missing_defense_037_vgg13_gradmatch_dog_bird_b0_01_epic_dpp_j.sh	VGG13BN	gradmatch	dog-bird	0.01	epic	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
38	missing_defense_038_vgg13_gradmatch_dog_bird_b0_01_friends_ours_std.sh	VGG13BN	gradmatch	dog-bird	0.01	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
39	missing_defense_039_vgg13_gradmatch_dog_bird_b0_01_friends_ours_j.sh	VGG13BN	gradmatch	dog-bird	0.01	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
40	missing_defense_040_vgg13_gradmatch_dog_bird_b0_01_friends_dpp_j.sh	VGG13BN	gradmatch	dog-bird	0.01	friends	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=gradmatch BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
41	missing_defense_041_vgg13_sapa_dog_bird_b0_005_epic_ours_std.sh	VGG13BN	sapa	dog-bird	0.005	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
42	missing_defense_042_vgg13_sapa_dog_bird_b0_005_epic_ours_j.sh	VGG13BN	sapa	dog-bird	0.005	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
43	missing_defense_043_vgg13_sapa_dog_bird_b0_005_friends_ours_std.sh	VGG13BN	sapa	dog-bird	0.005	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
44	missing_defense_044_vgg13_sapa_dog_bird_b0_005_friends_ours_j.sh	VGG13BN	sapa	dog-bird	0.005	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.005 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
45	missing_defense_045_vgg13_sapa_dog_bird_b0_01_epic_ours_std.sh	VGG13BN	sapa	dog-bird	0.01	epic	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
46	missing_defense_046_vgg13_sapa_dog_bird_b0_01_epic_ours_j.sh	VGG13BN	sapa	dog-bird	0.01	epic	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
47	missing_defense_047_vgg13_sapa_dog_bird_b0_01_epic_dpp_j.sh	VGG13BN	sapa	dog-bird	0.01	epic	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=epic NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
48	missing_defense_048_vgg13_sapa_dog_bird_b0_01_friends_ours_std.sh	VGG13BN	sapa	dog-bird	0.01	friends	ours	0	USE_JACOBIAN_SCORE=0 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
49	missing_defense_049_vgg13_sapa_dog_bird_b0_01_friends_ours_j.sh	VGG13BN	sapa	dog-bird	0.01	friends	ours	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=ours SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
50	missing_defense_050_vgg13_sapa_dog_bird_b0_01_friends_dpp_j.sh	VGG13BN	sapa	dog-bird	0.01	friends	dpp	1	USE_JACOBIAN_SCORE=1 JACOBIAN_WEIGHT=1.0 JACOBIAN_BATCH_SIZE=64 CLASS_PAIR=dog-bird MODEL=VGG13BN ATTACK=sapa TARGET_SELECT=50 BUDGETS=0.01 SELS=dpp SEL_ALPHA=2.0 DEFENSES=friends NUM_TARGETS=7 NUM_VICTIMS=5 sh defense.sh
