index	file	K	budget	attack	selector	victim	method	run_name	estimate	walltime	command
302	cross_302_k1_gradmatch_b0_005_sconvnet_aconvnet_random.sh	1	0.005	gradmatch	ConvNetBN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
303	cross_303_k1_gradmatch_b0_005_sconvnet_aresnet20_random.sh	1	0.005	gradmatch	ConvNetBN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
304	cross_304_k1_gradmatch_b0_005_sconvnet_avgg13_random.sh	1	0.005	gradmatch	ConvNetBN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchConvNetBN_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ConvNetBN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
305	cross_305_k1_gradmatch_b0_005_sresnet20_aconvnet_random.sh	1	0.005	gradmatch	ResNet20BN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
306	cross_306_k1_gradmatch_b0_005_sresnet20_aresnet20_random.sh	1	0.005	gradmatch	ResNet20BN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
307	cross_307_k1_gradmatch_b0_005_sresnet20_avgg13_random.sh	1	0.005	gradmatch	ResNet20BN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchResNet20BN_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=ResNet20BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
308	cross_308_k1_gradmatch_b0_005_svgg13_aconvnet_random.sh	1	0.005	gradmatch	VGG13BN	ConvNetBN	random	CIFAR10_ConvNetBN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
309	cross_309_k1_gradmatch_b0_005_svgg13_aresnet20_random.sh	1	0.005	gradmatch	VGG13BN	ResNet20BN	random	CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_selarchVGG13BN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
310	cross_310_k1_gradmatch_b0_005_svgg13_avgg13_random.sh	1	0.005	gradmatch	VGG13BN	VGG13BN	random	CIFAR10_VGG13BN_gradmatch_random_dog-bird_b0.005_eps8_seed42_K1_ce5_tgt50	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=VGG13BN SELECTOR_MODELS=VGG13BN SELECTIONS=random RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
311	cross_311_k1_gradmatch_b0_005_sconvnet_aconvnet_greedy.sh	1	0.005	gradmatch	ConvNetBN	ConvNetBN	greedy	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt70	0-01:15:00	0-02:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ConvNetBN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
312	cross_312_k1_gradmatch_b0_005_sconvnet_aresnet20_greedy.sh	1	0.005	gradmatch	ConvNetBN	ResNet20BN	greedy	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K1_ce5_tgt14	0-02:15:00	0-03:00:00	SEL_K=1 BUDGET=0.005 ATTACKS=gradmatch MODELS=ResNet20BN SELECTOR_MODELS=ConvNetBN SELECTIONS=greedy RUN_MATCHED=1 NUM_TARGETS=5 NUM_VICTIMS=4 sh cross_arch.sh
