replaces_job_id	index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
927202	114	aip-boyuwang	gradmatch	0.005	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt70	job_114_gm_b0005_vconv_sr20_k3.sh
927205	117	aip-boyuwang	gradmatch	0.005	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt70	job_117_gm_b0005_vconv_svgg_k1.sh
927208	120	aip-boyuwang	gradmatch	0.005	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt70	job_120_gm_b0005_vconv_svgg_k30.sh
927211	123	aip-boyuwang	gradmatch	0.005	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt14	job_123_gm_b0005_vr20_sconv_k10.sh
927214	126	aip-boyuwang	gradmatch	0.005	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt14	job_126_gm_b0005_vr20_sr20_k3.sh
927217	129	aip-boyuwang	gradmatch	0.005	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt14	job_129_gm_b0005_vr20_svgg_k1.sh
927220	132	aip-boyuwang	gradmatch	0.005	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt14	job_132_gm_b0005_vr20_svgg_k30.sh
927223	135	aip-boyuwang	gradmatch	0.005	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt50	job_135_gm_b0005_vvgg_sconv_k10.sh
927226	138	aip-boyuwang	gradmatch	0.005	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	job_138_gm_b0005_vvgg_sr20_k3.sh
927229	141	aip-boyuwang	gradmatch	0.005	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt50	job_141_gm_b0005_vvgg_svgg_k1.sh
